step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_paf,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_paf,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,,0.16117911040782928,0.6196120977401733,0.17562025785446167,0.06990725547075272,0.06990725547075272,,,,
2,,,,,,0.012943783774971962,0.5807624459266663,0.042436543852090836,0.015408521518111229,0.015408521518111229,,,,
3,,,,,,0.012360680848360062,0.5261219143867493,0.016724402084946632,0.013446406461298466,0.013446406461298466,,,,
4,,,,,,0.00897048320621252,0.5788095593452454,0.010133922100067139,0.012974784709513187,0.012974784709513187,,,,
5,,,,,,0.010915735736489296,0.5753253102302551,0.005761040840297937,0.01341936830431223,0.01341936830431223,,,,
6,,,,,,0.010116823948919773,0.5203120708465576,0.0045692576095461845,0.012196451425552368,0.012196451425552368,,,,
7,,,,,,0.00972349289804697,0.5175475478172302,0.004019245505332947,0.012000932358205318,0.012000932358205318,,,,
8,,,,,,0.009716966189444065,0.5590481758117676,0.002875205362215638,0.01265229843556881,0.01265229843556881,,,,
9,,,,,,0.008474762551486492,0.5366054177284241,0.002586677437648177,0.011854567565023899,0.011854567565023899,,,,
10,0.009185248985886574,0.4992150366306305,0.0033446040470153093,0.011493487283587456,0.011493487283587456,0.01205271203070879,0.5163941383361816,0.002757227746769786,0.012716046534478664,0.012716046534478664,0.0,0.0,173.3174271743322,nan
11,,,,,,0.011104046367108822,0.4882415533065796,0.0036509486380964518,0.011960405856370926,0.011960405856370926,,,,
12,,,,,,0.013622191734611988,0.49848413467407227,0.012312669306993484,0.013259220868349075,0.013259220868349075,,,,
13,,,,,,0.011647488921880722,0.48264312744140625,0.009070842526853085,0.012228909879922867,0.012228909879922867,,,,
14,,,,,,0.007837855257093906,0.4414435625076294,0.004648094996809959,0.010124947875738144,0.010124947875738144,,,,
15,,,,,,0.00619833217933774,0.38047754764556885,0.0031244049314409494,0.008511550724506378,0.008511550724506378,,,,
16,,,,,,0.008279225789010525,0.39711353182792664,0.0023418704513460398,0.009456364437937737,0.009456364437937737,,,,
17,,,,,,0.006683121435344219,0.36388537287712097,0.002154034562408924,0.008364265784621239,0.008364265784621239,,,,
18,,,,,,0.007450105622410774,0.37676194310188293,0.0019415195565670729,0.00882745161652565,0.00882745161652565,,,,
19,,,,,,0.006957329344004393,0.3634004592895508,0.002265837974846363,0.008451312780380249,0.008451312780380249,,,,
20,0.008010887540876865,0.2964939773082733,0.001534070586785674,0.007662998046725988,0.007662998046725988,0.0077664474956691265,0.33973002433776855,0.0019951253198087215,0.008317486383020878,0.008317486383020878,2.0297029702970293,4.666666666666667,55.027009166852395,6.415749171200921
21,,,,,,0.008543084375560284,0.3450598418712616,0.0020859139040112495,0.008668222464621067,0.008668222464621067,,,,
22,,,,,,0.007734619081020355,0.33877047896385193,0.0020893325563520193,0.008294026367366314,0.008294026367366314,,,,
23,,,,,,0.008139166980981827,0.33001673221588135,0.0018883184529840946,0.008276278153061867,0.008276278153061867,,,,
24,,,,,,0.007174861617386341,0.2840876877307892,0.002122549107298255,0.007197167258709669,0.007197167258709669,,,,
25,,,,,,0.00885107833892107,0.31626394391059875,0.002298668259754777,0.008298047818243504,0.008298047818243504,,,,
26,,,,,,0.007973604835569859,0.2891327440738678,0.001747134025208652,0.007534985430538654,0.007534985430538654,,,,
27,,,,,,0.007353045511990786,0.2754106819629669,0.0018977902363985777,0.007104453165084124,0.007104453165084124,,,,
28,,,,,,0.008037992753088474,0.2856009006500244,0.001887794933281839,0.007502272725105286,0.007502272725105286,,,,
29,,,,,,0.010069608688354492,0.28300315141677856,0.0025670714676380157,0.008158824406564236,0.008158824406564236,,,,
30,0.005676629487425089,0.222692608833313,0.0017192463856190443,0.005661061964929104,0.005661061964929104,0.006661906838417053,0.2823343873023987,0.0022563079837709665,0.007001419086009264,0.007001419086009264,16.86056105610561,21.333333333333336,71.2818368169768,54.890441582753105
31,,,,,,0.007174327969551086,0.274898886680603,0.0019148479914292693,0.007036918308585882,0.007036918308585882,,,,
32,,,,,,0.00602888036519289,0.2681996524333954,0.0017375436145812273,0.0065375398844480515,0.0065375398844480515,,,,
33,,,,,,0.00596155971288681,0.2653273046016693,0.0017959763063117862,0.006469173356890678,0.006469173356890678,,,,
34,,,,,,0.005016054958105087,0.24331989884376526,0.0015879255952313542,0.0057802810333669186,0.0057802810333669186,,,,
35,,,,,,0.0065953354351222515,0.23329901695251465,0.0019911034032702446,0.006153132300823927,0.006153132300823927,,,,
36,,,,,,0.006520979572087526,0.2282560020685196,0.0024032078217715025,0.006058033090084791,0.006058033090084791,,,,
37,,,,,,0.007328338455408812,0.25545886158943176,0.0019735461100935936,0.006766212172806263,0.006766212172806263,,,,
38,,,,,,0.005709459073841572,0.2308274656534195,0.0018744395347312093,0.005812758579850197,0.005812758579850197,,,,
39,,,,,,0.005884830839931965,0.26421692967414856,0.0015802253037691116,0.006417900323867798,0.006417900323867798,,,,
